Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,Soil_Type,Crop_Type,Fertilizer
26.1,59,58,55,39,34,Red,Oil Seeds,NPK 20-20-20
30.0,67,31,63,56,56,Black,Rice,NPK 10-26-26
21.8,47,57,17,84,23,Loamy,Rice,DAP
31.2,54,53,50,50,48,Red,Tobacco,NPK 10-26-26
30.6,56,38,51,70,47,Red,Rice,NPK 10-26-26
23.7,77,54,50,43,47,Red,Sugarcane,NPK 20-20-20
28.9,52,56,74,19,22,Red,Sugarcane,Urea
31.4,49,45,52,40,55,Loamy,Wheat,NPK 10-26-26
28.8,63,49,56,52,59,Red,Sugarcane,NPK 20-20-20
27.8,41,33,87,19,17,Black,Rice,Urea
32.1,76,55,13,57,17,Red,Wheat,DAP
19.4,40,23,1,57,16,Loamy,Pulses,SSP
24.9,52,48,54,51,55,Loamy,Cotton,NPK 10-26-26
28.6,59,32,55,64,54,Loamy,Ground Nuts,NPK 10-26-26
26.9,48,42,2,16,73,Black,Wheat,MOP
31.7,71,46,54,40,38,Red,Sugarcane,NPK 20-20-20
30.5,44,41,81,12,1,Red,Wheat,Urea
28.5,34,46,22,21,30,Loamy,Wheat,Ammonium Sulphate
32.3,69,51,47,36,40,Sandy,Sugarcane,NPK 20-20-20
27.5,41,30,23,53,11,Loamy,Pulses,SSP
30.1,40,42,26,16,29,Black,Millets,Ammonium Sulphate
28.8,58,50,8,68,10,Red,Wheat,DAP
28.9,57,39,36,62,57,Loamy,Wheat,NPK 10-26-26
24.9,48,39,17,19,44,Red,Tobacco,Ammonium Sulphate
30.3,54,43,46,56,54,Red,Cotton,NPK 10-26-26
36.3,59,42,26,35,31,Red,Sugarcane,Ammonium Sulphate
29.4,75,51,17,76,22,Red,Rice,DAP
25.0,46,26,12,60,16,Clayey,Oil Seeds,SSP
35.0,77,51,49,49,31,Loamy,Tobacco,NPK 20-20-20
32.4,37,46,18,36,33,Loamy,Wheat,Ammonium Sulphate
30.4,28,44,90,1,10,Black,Sugarcane,Urea
28.9,63,48,36,85,10,Red,Tobacco,DAP
29.9,59,43,52,58,48,Loamy,Rice,NPK 10-26-26
32.8,66,45,55,51,40,Loamy,Maize,NPK 10-26-26
27.4,49,31,11,55,22,Black,Sugarcane,SSP
29.0,48,33,6,9,67,Loamy,Oil Seeds,MOP
32.5,52,40,49,43,43,Red,Wheat,NPK 10-26-26
31.7,53,27,83,25,22,Clayey,Maize,Urea
25.3,56,36,8,10,86,Red,Wheat,MOP
28.0,58,56,55,46,39,Sandy,Maize,NPK 20-20-20
34.0,67,50,52,49,55,Loamy,Wheat,NPK 10-26-26
23.1,45,42,95,5,14,Clayey,Millets,Urea
28.7,38,41,11,49,18,Black,Pulses,SSP
30.1,51,56,15,72,20,Red,Maize,DAP
29.3,53,38,27,23,33,Red,Maize,Ammonium Sulphate
28.8,40,52,80,7,12,Red,Rice,Urea
22.4,55,41,39,46,62,Sandy,Wheat,NPK 10-26-26
26.6,40,40,8,15,80,Black,Ground Nuts,MOP
24.2,41,42,14,79,28,Black,Maize,DAP
